DISEASE,HOSPITAL NAME,DOCTOR,LOCATION,PHONE NUMBER
Diabetes,Dr.Mohan's Diabetes Specialist Hospitals,Dr.Mohan's,"Chakravarthy palace 2nd floor,visakapatanam,530003",7825888720
Diabetes,V.G.R.Diabetes Hospital,Dr.K.Venu Gopal,"Near Siddhartha College,Vijayawada,520010",0866 - 2485933
Diabetes,Dr.Haritha Clinic,Dr.Haritha,"Sai Nagar,Anantapur,515001",9502591932
Diabetes,Santi Endocrine And Diabetes Hospital,Dr.Jaidev Sudagani,"Gurunanak Colony,Vijayawada,520010",0866 248 0037
Diabetes,Kavya Diabetes Hospital,Dr.B.Krishna Chaitanaya,"Gurunanak Colony,Vijayawada,520010",89193 74939
Heart,Usha Cardiac Center Clinic,Dr.Y.V.Rao,"Labbipet,Vijayawada,520010",7947426566
Heart,Medicover Hospital,Dr.S.Srikar Samir Nandan,"Maharani Peta, Visakhapatnam,530002",040 6833 4559
Heart,Amrutha Hospitals,Dr.Anjith Vupputuri,"Kothapeta,Guntur,522001",863 221 0123
Heart,KIIMS Hospital,Dr.Narendranadh Meda,"Gorakshanapeta,Rajahmundry,533103",0883 247 7779
Heart,Ramesh Hospitals,Dr.P.Ramesh Babu,"Labbipet,Vijayawada,520010",0866 246 3463
Parkinson,Girija Neuro Center,Dr.G.Sivannarayana,"Auto nagar,Vijayawada", 92481 29248
Parkinson,Kamineni Hospital,Dr.Naveen Kumar Venigalla,"PorankI,Vijayawada",8662463333
Parkinson,Seven Hills Hospital,Dr.Rv Narayana Md Dm,"Waltair Road,Vizag", 081977 19636
Parkinson,Anu Neuro and Cardic Hospitals,Dr.Naveen Thota,"Suryaraopet,Vijayawada",95421 08108
Parkinson,CARE Hospitals,Dr.G.Kishore Babu,"Waltair Road,Vizag",040 6810 6589
Breast Cancer,Apollo Cancer Center,Dr.Alamuri Ramesh,"Arilova,Vizag,530040",8912367777
Breast Cancer,Bhargav Endocrine Hospital,Dr.Bhargav,"Gandhi nagar,Vijayawada",94901 30798
Breast Cancer,Anil Neuro And Trauma Center,Dr.Anil Kumar,"Elur Road,Vijayawada,520004", 98855 85777
Breast Cancer,Medicover Hospitals,Dr.Lalitya Swarna Pethakamsetty,"MVP,Vizag", 040 6833 4559
Breast Cancer,Mahatma Gandhi Cancer Hospital,Dr.Murali Krishna Voonna,"MVP,Vizag", 83410 33744
